codigo,codigo_departamento,nombre
5002,5,ABEJORRAL
54003,54,ABREGO
5004,5,ABRIAQUÍ
50006,50,ACACIAS
27006,27,ACANDÍ
41006,41,ACEVEDO
13006,13,ACHÍ
41013,41,AGRADO
25001,25,AGUA DE DIOS
20011,20,AGUACHICA
68013,68,AGUADA
17013,17,AGUADAS
85010,85,AGUAZUL
20013,20,AGUSTÍN CODAZZI
41016,41,AIPE
25019,25,ALBÁN
52019,52,ALBÁN
18029,18,ALBANIA
44035,44,ALBANIA
68020,68,ALBANIA
76020,76,ALCALÁ
52022,52,ALDANA
5021,5,ALEJANDRÍA
47030,47,ALGARROBO
41020,41,ALGECIRAS
19022,19,ALMAGUER
15022,15,ALMEIDA
73024,73,ALPUJARRA
41026,41,ALTAMIRA
27025,27,ALTO BAUDO
13030,13,ALTOS DEL ROSARIO
73026,73,ALVARADO
5030,5,AMAGÁ
5031,5,AMALFI
73030,73,AMBALEMA
25035,25,ANAPOIMA
52036,52,ANCUYÁ
76036,76,ANDALUCÍA
5034,5,ANDES
5036,5,ANGELÓPOLIS
5038,5,ANGOSTURA
25040,25,ANOLAIMA
5040,5,ANORÍ
17042,17,ANSERMA
76041,76,ANSERMANUEVO
5044,5,ANZA
73043,73,ANZOÁTEGUI
5045,5,APARTADÓ
66045,66,APÍA
25599,25,APULO
15047,15,AQUITANIA
47053,47,ARACATACA
17050,17,ARANZAZU
68051,68,ARATOCA
81001,81,ARAUCA
81065,81,ARAUQUITA
25053,25,ARBELÁEZ
52051,52,ARBOLEDA
54051,54,ARBOLEDAS
5051,5,ARBOLETES
15051,15,ARCABUCO
13042,13,ARENAL
5055,5,ARGELIA
19050,19,ARGELIA
76054,76,ARGELIA
47058,47,ARIGUANÍ
13052,13,ARJONA
5059,5,ARMENIA
63001,63,ARMENIA
73055,73,ARMERO
13062,13,ARROYOHONDO
20032,20,ASTREA
73067,73,ATACO
27050,27,ATRATO
23068,23,AYAPEL
27073,27,BAGADÓ
27075,27,BAHÍA SOLANO
27077,27,BAJO BAUDÓ
19075,19,BALBOA
66075,66,BALBOA
8078,8,BARANOA
41078,41,BARAYA
52079,52,BARBACOAS
5079,5,BARBOSA
68077,68,BARBOSA
68079,68,BARICHARA
50110,50,BARRANCA DE UPÍA
68081,68,BARRANCABERMEJA
44078,44,BARRANCAS
13074,13,BARRANCO DE LOBA
94343,94,BARRANCO MINAS
8001,8,BARRANQUILLA
20045,20,BECERRIL
17088,17,BELALCÁZAR
52083,52,BELÉN
15087,15,BELÉN
27086,27,BELÉN DE BAJIRA
18094,18,BELÉN DE LOS ANDAQUIES
66088,66,BELÉN DE UMBRÍA
5088,5,BELLO
5086,5,BELMIRA
25086,25,BELTRÁN
15090,15,BERBEO
5091,5,BETANIA
15092,15,BETÉITIVA
5093,5,BETULIA
68092,68,BETULIA
25095,25,BITUIMA
15097,15,BOAVITA
54099,54,BOCHALEMA
11001,11,BOGOTÁ D.C.
25099,25,BOJACÁ
27099,27,BOJAYA
19100,19,BOLÍVAR
68101,68,BOLÍVAR
76100,76,BOLÍVAR
20060,20,BOSCONIA
15104,15,BOYACÁ
5107,5,BRICEÑO
15106,15,BRICEÑO
68001,68,BUCARAMANGA
54109,54,BUCARASICA
15109,15,BUENA VISTA
76109,76,BUENAVENTURA
23079,23,BUENAVISTA
63111,63,BUENAVISTA
70110,70,BUENAVISTA
19110,19,BUENOS AIRES
52110,52,BUESACO
76113,76,BUGALAGRANDE
5113,5,BURITICÁ
15114,15,BUSBANZÁ
25120,25,CABRERA
68121,68,CABRERA
50124,50,CABUYARO
94886,94,CACAHUAL
5120,5,CÁCERES
25123,25,CACHIPAY
54128,54,CACHIRÁ
54125,54,CÁCOTA
5125,5,CAICEDO
76122,76,CAICEDONIA
70124,70,CAIMITO
73124,73,CAJAMARCA
19130,19,CAJIBÍO
25126,25,CAJICÁ
13140,13,CALAMAR
95015,95,CALAMAR
